ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~1751;1751;A5;08;03;08/03;14/03/2021 00:00;15;73;03W;AA-T05;Butter;Trading Goods;T05;;Butter;204;ST
.1~1297;1297;A5;06;05;06/05;24/02/2021 00:00;11;55;03;AA-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~1326;1326;A5;06;06;06/06;25/02/2021 00:00;12;56;03;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1349;1349;A5;06;07;06/07;26/02/2021 00:00;12;57;03;AA-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~1355;1355;A5;06;07;06/07;26/02/2021 00:00;12;57;03N;AA-T05;Butter;Trading Goods;T05;;Butter;67;ST
.1~1360;1360;A5;06;07;06/07;26/02/2021 00:00;12;57;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;142;ST
.1~1135;1135;A5;05;08;05/08;17/02/2021 00:00;10;48;03N;AA-T01;Milk;Trading Goods;T01;;Milk;304;ST
.1~1171;1171;A5;05;09;05/09;18/02/2021 00:00;10;49;03W;AA-T01;Milk;Trading Goods;T01;;Milk;36;ST
.1~1206;1206;A5;06;01;06/01;20/02/2021 00:00;11;51;03;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1229;1229;A5;06;02;06/02;21/02/2021 00:00;11;52;03;AA-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~1252;1252;A5;06;03;06/03;22/02/2021 00:00;11;53;03;AA-T04;Cheese;Trading Goods;T04;;Cheese;585;ST
.1~1258;1258;A5;06;03;06/03;22/02/2021 00:00;11;53;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~952;952;A5;04;10;04/10;09/02/2021 00:00;8;40;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~659;659;A5;03;08;03/08;28/01/2021 00:00;6;28;03N;AA-T05;Butter;Trading Goods;T05;;Butter;155;ST
.1~662;662;A5;03;08;03/08;28/01/2021 00:00;6;28;03S;AA-T02;Cream;Trading Goods;T02;;Cream;135;ST
.1~539;539;A5;03;03;03/03;23/01/2021 00:00;5;23;03N;AA-T05;Butter;Trading Goods;T05;;Butter;155;ST
.1~374;374;A5;02;06;02/06;16/01/2021 00:00;4;16;03S;AA-T02;Cream;Trading Goods;T02;;Cream;80;ST
.1~381;381;A5;02;06;02/06;16/01/2021 00:00;4;16;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~407;407;A5;02;07;02/07;17/01/2021 00:00;4;17;03W;AA-T05;Butter;Trading Goods;T05;;Butter;280;ST
.1~261;261;A5;02;01;02/01;11/01/2021 00:00;3;11;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~308;308;A5;02;03;02/03;13/01/2021 00:00;3;13;03W;AA-T02;Cream;Trading Goods;T02;;Cream;170;ST
.1~319;319;A5;02;04;02/04;14/01/2021 00:00;3;14;03N;AA-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~3765;3765;B5;08;06;08/06;17/03/2021 00:00;16;76;03W;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;393;ST
.1~3640;3640;B5;08;01;08/01;12/03/2021 00:00;15;71;03S;BB-T04;Cheese;Trading Goods;T04;;Cheese;108;ST
.1~3334;3334;B5;06;08;06/08;27/02/2021 00:00;12;58;03W;BB-T04;Cheese;Trading Goods;T04;;Cheese;61;ST
.1~3158;3158;B5;06;01;06/01;20/02/2021 00:00;11;51;03S;BB-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~3168;3168;B5;06;01;06/01;20/02/2021 00:00;11;51;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80;ST
.1~3044;3044;B5;05;06;05/06;15/02/2021 00:00;10;46;03W;BB-T02;Cream;Trading Goods;T02;;Cream;55;ST
.1~2774;2774;B5;04;05;04/05;04/02/2021 00:00;7;35;03S;BB-T02;Cream;Trading Goods;T02;;Cream;43;ST
.1~2472;2472;B5;03;02;03/02;22/01/2021 00:00;5;22;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;160;ST
.1~2556;2556;B5;03;06;03/06;26/01/2021 00:00;6;26;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~2275;2275;B5;02;04;02/04;14/01/2021 00:00;3;14;03W;BB-T01;Milk;Trading Goods;T01;;Milk;225;ST
.1~2306;2306;B5;02;06;02/06;16/01/2021 00:00;4;16;03;BB-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~2312;2312;B5;02;06;02/06;16/01/2021 00:00;4;16;03N;BB-T02;Cream;Trading Goods;T02;;Cream;215;ST
.1~2407;2407;B5;02;10;02/10;20/01/2021 00:00;4;20;03N;BB-T01;Milk;Trading Goods;T01;;Milk;148;ST
.1~2221;2221;B5;02;02;02/02;12/01/2021 00:00;3;12;03S;BB-T01;Milk;Trading Goods;T01;;Milk;231;ST
.1~5732;5732;C5;08;07;08/07;18/03/2021 00:00;16;77;03W;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~5734;5734;C5;08;07;08/07;18/03/2021 00:00;16;77;03W;CC-T04;Cheese;Trading Goods;T04;;Cheese;115;ST
.1~5768;5768;C5;08;09;08/09;20/03/2021 00:00;16;79;03N;CC-T02;Cream;Trading Goods;T02;;Cream;64;ST
.1~5791;5791;C5;08;10;08/10;21/03/2021 00:00;16;80;03N;CC-T01;Milk;Trading Goods;T01;;Milk;277;ST
.1~5570;5570;C5;08;01;08/01;12/03/2021 00:00;15;71;03;CC-T02;Cream;Trading Goods;T02;;Cream;9;ST
.1~5612;5612;C5;08;02;08/02;13/03/2021 00:00;15;72;03W;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~5455;5455;C5;07;06;07/06;07/03/2021 00:00;14;66;03N;CC-T01;Milk;Trading Goods;T01;;Milk;375;ST
.1~5307;5307;C5;06;10;06/10;01/03/2021 00:00;12;60;03;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;17;ST
.1~4938;4938;C5;05;04;05/04;13/02/2021 00:00;9;44;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;113;ST
.1~4846;4846;C5;04;10;04/10;09/02/2021 00:00;8;40;03W;CC-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~4604;4604;C5;03;10;03/10;30/01/2021 00:00;6;30;03W;CC-T02;Cream;Trading Goods;T02;;Cream;78;ST
.1~4691;4691;C5;04;04;04/04;03/02/2021 00:00;7;34;03N;CC-T05;Butter;Trading Goods;T05;;Butter;104;ST
.1~4522;4522;C5;03;07;03/07;27/01/2021 00:00;6;27;03N;CC-T04;Cheese;Trading Goods;T04;;Cheese;118;ST
.1~4148;4148;C5;02;01;02/01;11/01/2021 00:00;3;11;03W;CC-T02;Cream;Trading Goods;T02;;Cream;200;ST
.1~7717;7717;D5;08;09;08/09;20/03/2021 00:00;16;79;03S;DD-T01;Milk;Trading Goods;T01;;Milk;125;ST
.1~7763;7763;D5;09;01;09/01;22/03/2021 00:00;17;81;03N;DD-T05;Butter;Trading Goods;T05;;Butter;238;ST
.1~7458;7458;D5;07;08;07/08;09/03/2021 00:00;14;68;03S;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;119;ST
.1~7291;7291;D5;07;01;07/01;02/03/2021 00:00;13;61;03W;DD-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~7379;7379;D5;07;05;07/05;06/03/2021 00:00;13;65;03N;DD-T05;Butter;Trading Goods;T05;;Butter;165;ST
.1~7146;7146;D5;06;05;06/05;24/02/2021 00:00;11;55;03S;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;113;ST
.1~7262;7262;D5;06;10;06/10;01/03/2021 00:00;12;60;03S;DD-T02;Cream;Trading Goods;T02;;Cream;181;ST
.1~6403;6403;D5;03;04;03/04;24/01/2021 00:00;5;24;03W;DD-T01;Milk;Trading Goods;T01;;Milk;26;ST
.1~6177;6177;D5;02;05;02/05;15/01/2021 00:00;3;15;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~6012;6012;D5;01;08;01/08;08/01/2021 00:00;2;8;03N;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;105;ST
.1~6057;6057;D5;01;10;01/10;10/01/2021 00:00;2;10;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~6065;6065;D5;01;10;01/10;10/01/2021 00:00;2;10;03S;DD-T05;Butter;Trading Goods;T05;;Butter;38;ST
.1~6073;6073;D5;02;01;02/01;11/01/2021 00:00;3;11;03;DD-T01;Milk;Trading Goods;T01;;Milk;0;ST
