ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~4154;4154;F5;05;10;05/10;19/02/2021 00:00;10;50;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;1000;1000;-1000;1000.00;0.00;EUR
.1~4155;4155;F5;05;10;05/10;19/02/2021 00:00;10;50;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;9604,72;9604,72;-9604,72;0.00;-9604.72;EUR
.1~4157;4157;F5;05;10;05/10;19/02/2021 00:00;10;50;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;568,6;568,6;-568,6;0.00;-568.60;EUR
.1~4158;4158;F5;05;10;05/10;19/02/2021 00:00;10;50;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;9604,72;-9604,72;9604,72;-9604.72;0.00;EUR
.1~4160;4160;F5;05;10;05/10;19/02/2021 00:00;10;50;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;10297;-10297;10297;0.00;10297.00;EUR
.1~4163;4163;F5;06;01;06/01;20/02/2021 00:00;11;51;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;5934;-5934;5934;-5934.00;0.00;EUR
.1~4164;4164;F5;06;01;06/01;20/02/2021 00:00;11;51;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;10933,5;10933,5;-10933,5;10933.50;0.00;EUR
.1~4167;4167;F5;06;01;06/01;20/02/2021 00:00;11;51;472000;Shipping costs;Income Statement;Operating Expenses;;;Debit;300;300;-300;0.00;-300.00;EUR
.1~4171;4171;F5;06;02;06/02;21/02/2021 00:00;11;52;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~4175;4175;F5;06;02;06/02;21/02/2021 00:00;11;52;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;21337,9;21337,9;-21337,9;0.00;-21337.90;EUR
.1~4178;4178;F5;06;02;06/02;21/02/2021 00:00;11;52;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;25103,5;-25103,5;25103,5;0.00;25103.50;EUR
.1~4179;4179;F5;06;03;06/03;22/02/2021 00:00;11;53;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~4180;4180;F5;06;03;06/03;22/02/2021 00:00;11;53;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;37395,7;37395,7;-37395,7;37395.70;0.00;EUR
.1~4184;4184;F5;06;03;06/03;22/02/2021 00:00;11;53;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;15;15;-15;0.00;-15.00;EUR
.1~4185;4185;F5;06;03;06/03;22/02/2021 00:00;11;53;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;16418,76;-16418,76;16418,76;-16418.76;0.00;EUR
.1~4186;4186;F5;06;03;06/03;22/02/2021 00:00;11;53;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;19999,2;-19999,2;19999,2;0.00;19999.20;EUR
.1~4187;4187;F5;06;04;06/04;23/02/2021 00:00;11;54;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;12;-12;12;-12.00;0.00;EUR
.1~4188;4188;F5;06;04;06/04;23/02/2021 00:00;11;54;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;10297;10297;-10297;10297.00;0.00;EUR
.1~4192;4192;F5;06;04;06/04;23/02/2021 00:00;11;54;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;12;12;-12;0.00;-12.00;EUR
.1~4193;4193;F5;06;04;06/04;23/02/2021 00:00;11;54;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;12784,65;-12784,65;12784,65;-12784.65;0.00;EUR
.1~4194;4194;F5;06;04;06/04;23/02/2021 00:00;11;54;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;14261,2;-14261,2;14261,2;0.00;14261.20;EUR
.1~4196;4196;F5;06;05;06/05;24/02/2021 00:00;11;55;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;10933,5;10933,5;-10933,5;10933.50;0.00;EUR
.1~4203;4203;F5;06;05;06/05;24/02/2021 00:00;11;55;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;1000;-1000;1000;-1000.00;0.00;EUR
.1~4213;4213;F5;06;06;06/06;25/02/2021 00:00;12;56;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;25103,5;-25103,5;25103,5;-25103.50;0.00;EUR
.1~4214;4214;F5;06;06;06/06;25/02/2021 00:00;12;56;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;9762,9;9762,9;-9762,9;9762.90;0.00;EUR
.1~4216;4216;F5;06;06;06/06;25/02/2021 00:00;12;56;472000;Shipping costs;Income Statement;Operating Expenses;;;Debit;300;300;-300;0.00;-300.00;EUR
.1~4224;4224;F5;06;07;06/07;26/02/2021 00:00;12;57;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;15742,63;15742,63;-15742,63;0.00;-15742.63;EUR
.1~4226;4226;F5;06;07;06/07;26/02/2021 00:00;12;57;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;39;39;-39;0.00;-39.00;EUR
.1~4227;4227;F5;06;07;06/07;26/02/2021 00:00;12;57;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;15742,63;-15742,63;15742,63;-15742.63;0.00;EUR
.1~4228;4228;F5;06;07;06/07;26/02/2021 00:00;12;57;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;19952,2;-19952,2;19952,2;0.00;19952.20;EUR
.1~4229;4229;F5;06;08;06/08;27/02/2021 00:00;12;58;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;12;-12;12;-12.00;0.00;EUR
.1~4230;4230;F5;06;08;06/08;27/02/2021 00:00;12;58;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;14261,2;14261,2;-14261,2;14261.20;0.00;EUR
.1~4234;4234;F5;06;08;06/08;27/02/2021 00:00;12;58;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;12;12;-12;0.00;-12.00;EUR
.1~4235;4235;F5;06;08;06/08;27/02/2021 00:00;12;58;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;15952,86;-15952,86;15952,86;-15952.86;0.00;EUR
.1~4236;4236;F5;06;08;06/08;27/02/2021 00:00;12;58;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;18828,54;-18828,54;18828,54;0.00;18828.54;EUR
.1~4237;4237;F5;06;09;06/09;28/02/2021 00:00;12;59;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;481,8;-481,8;481,8;-481.80;0.00;EUR
.1~4238;4238;F5;06;09;06/09;28/02/2021 00:00;12;59;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;21183,4;21183,4;-21183,4;21183.40;0.00;EUR
.1~4243;4243;F5;06;09;06/09;28/02/2021 00:00;12;59;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;69878,03;69878,03;-69878,03;69878.03;0.00;EUR
.1~4247;4247;F5;06;09;06/09;28/02/2021 00:00;12;59;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;481,8;481,8;-481,8;0.00;-481.80;EUR
.1~4248;4248;F5;06;09;06/09;28/02/2021 00:00;12;59;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;13314,02;-13314,02;13314,02;-13314.02;0.00;EUR
.1~4249;4249;F5;06;09;06/09;28/02/2021 00:00;12;59;792000;Finished goods;Balance Sheet;Assets;Current assets;;Debit;70878,04;70878,04;-70878,04;70878.04;0.00;EUR
