ID;ROW_NUMBER;COMPANY_CODE;SALES_ORGANIZATION;SIM_ROUND;SIM_PERIOD;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;AREA;QUANTITY;UNIT;AVERAGE_PRICE;NET_VALUE;CURRENCY
.1~204;204;C9;Company;01;2;Milk;16;West;275;ST;30,3;8332,5;EUR
.1~210;210;C9;Company;01;2;Yoghurt;16;West;113;ST;29;3277;EUR
.1~238;238;D9;Company;01;1;Milk;16;West;119;ST;29,04;3455,76;EUR
.1~274;274;D9;Company;01;2;Milk;16;West;107;ST;29,76;3185,58;EUR
.1~308;308;E9;Company;01;1;Milk;16;West;30;ST;31,56;946,8;EUR
.1~344;344;E9;Company;01;2;Milk;16;West;53;ST;31,56;1672,68;EUR
.1~5;5;A9;Market;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
.1~11;11;A9;Market;01;1;Cheese;16;West;38;ST;103,23;3958,2;EUR
.1~21;21;A9;Market;01;1;Ice Cream;16;West;78;ST;51,5;4010,24;EUR
.1~27;27;A9;Market;01;1;Milk;16;West;394;ST;29,65;11580,06;EUR
.1~33;33;A9;Market;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~39;39;A9;Market;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~45;45;A9;Market;01;2;Cheese;16;West;100;ST;95,5;9550;EUR
.1~51;51;A9;Market;01;2;Cream;16;West;42;ST;79,3;3306,36;EUR
.1~57;57;A9;Market;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
.1~63;63;A9;Market;01;2;Milk;16;West;690;ST;29,32;20080,86;EUR
.1~69;69;A9;Market;01;2;Yoghurt;16;West;243;ST;29,71;7231,6;EUR
.1~75;75;B9;Market;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
.1~81;81;B9;Market;01;1;Cheese;16;West;38;ST;103,23;3958,2;EUR
.1~91;91;B9;Market;01;1;Ice Cream;16;West;78;ST;51,5;4010,24;EUR
.1~97;97;B9;Market;01;1;Milk;16;West;394;ST;29,65;11580,06;EUR
.1~103;103;B9;Market;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~109;109;B9;Market;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~115;115;B9;Market;01;2;Cheese;16;West;100;ST;95,5;9550;EUR
.1~121;121;B9;Market;01;2;Cream;16;West;42;ST;79,3;3306,36;EUR
.1~127;127;B9;Market;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
.1~133;133;B9;Market;01;2;Milk;16;West;690;ST;29,32;20080,86;EUR
.1~139;139;B9;Market;01;2;Yoghurt;16;West;243;ST;29,71;7231,6;EUR
.1~145;145;C9;Market;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
.1~151;151;C9;Market;01;1;Cheese;16;West;38;ST;103,23;3958,2;EUR
.1~161;161;C9;Market;01;1;Ice Cream;16;West;78;ST;51,5;4010,24;EUR
.1~167;167;C9;Market;01;1;Milk;16;West;394;ST;29,65;11580,06;EUR
.1~173;173;C9;Market;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~179;179;C9;Market;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~185;185;C9;Market;01;2;Cheese;16;West;100;ST;95,5;9550;EUR
.1~191;191;C9;Market;01;2;Cream;16;West;42;ST;79,3;3306,36;EUR
.1~197;197;C9;Market;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
.1~203;203;C9;Market;01;2;Milk;16;West;690;ST;29,32;20080,86;EUR
.1~209;209;C9;Market;01;2;Yoghurt;16;West;243;ST;29,71;7231,6;EUR
.1~215;215;D9;Market;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
.1~221;221;D9;Market;01;1;Cheese;16;West;38;ST;103,23;3958,2;EUR
.1~231;231;D9;Market;01;1;Ice Cream;16;West;78;ST;51,5;4010,24;EUR
.1~237;237;D9;Market;01;1;Milk;16;West;394;ST;29,65;11580,06;EUR
.1~243;243;D9;Market;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~249;249;D9;Market;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~255;255;D9;Market;01;2;Cheese;16;West;100;ST;95,5;9550;EUR
.1~261;261;D9;Market;01;2;Cream;16;West;42;ST;79,3;3306,36;EUR
.1~267;267;D9;Market;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
.1~273;273;D9;Market;01;2;Milk;16;West;690;ST;29,32;20080,86;EUR
.1~279;279;D9;Market;01;2;Yoghurt;16;West;243;ST;29,71;7231,6;EUR
.1~285;285;E9;Market;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
