ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~586;586;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;22;22
.1~537;537;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;22;22
.1~496;496;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;14;14
.1~554;554;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;7;7
.1~507;507;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;54;54
.1~576;576;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;120;120
.1~527;527;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;11;11
.1~498;498;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;60;60
.1~563;563;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;28;28
.1~522;522;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;14;14
.1~533;533;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;54;54
.1~571;571;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;28;28
.1~543;543;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;73;73
.1~518;518;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;14;14
.1~489;489;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;30;30
.1~511;511;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;28;28
.1~575;575;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;18;18
.1~583;583;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;10;10
.1~559;559;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;30;30
.1~506;506;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;30;30
.1~505;505;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;8;8
.1~553;553;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;60;60
.1~525;525;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;60;60
.1~568;568;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;60;60
.1~516;516;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;73;73
.1~491;491;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;73;73
.1~190;190;B9;01;03;01/03;03/01/2021 00:00;1;3;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;22;-22
.1~356;356;C9;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;40;-40
.1~333;333;C9;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;22;-22
.1~192;192;B9;01;03;01/03;03/01/2021 00:00;1;3;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;18;-18
.1~122;122;A9;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;32;-32
.1~41;41;A9;01;03;01/03;03/01/2021 00:00;1;3;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;32;-32
.1~387;387;C9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;16;-16
.1~386;386;C9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;27;-27
.1~380;380;C9;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;32;-32
.1~385;385;C9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;60;-60
.1~86;86;A9;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;3;-3
.1~74;74;A9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;47;-47
.1~480;480;D9;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;5;-5
