ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~181;181;C9;01;10;01/10;10/01/2021 00:00;2;10;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;59
.1~165;165;C9;01;08;01/08;08/01/2021 00:00;2;8;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;53
.1~164;164;C9;01;08;01/08;08/01/2021 00:00;2;8;03N;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;68
.1~155;155;C9;01;03;01/03;03/01/2021 00:00;1;3;03N;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;5
.1~156;156;C9;01;03;01/03;03/01/2021 00:00;1;3;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;5
.1~157;157;C9;01;03;01/03;03/01/2021 00:00;1;3;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;5
.1~77;77;A9;01;10;01/10;10/01/2021 00:00;2;10;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~76;76;A9;01;10;01/10;10/01/2021 00:00;2;10;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~78;78;A9;01;10;01/10;10/01/2021 00:00;2;10;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~36;36;A9;01;03;01/03;03/01/2021 00:00;1;3;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~119;119;B9;01;09;01/09;09/01/2021 00:00;2;9;03S;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;41
.1~120;120;B9;01;09;01/09;09/01/2021 00:00;2;9;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;160
.1~121;121;B9;01;09;01/09;09/01/2021 00:00;2;9;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;9
.1~60;60;A9;01;08;01/08;08/01/2021 00:00;2;8;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~59;59;A9;01;08;01/08;08/01/2021 00:00;2;8;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~58;58;A9;01;08;01/08;08/01/2021 00:00;2;8;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~158;158;C9;01;08;01/08;08/01/2021 00:00;2;8;03N;CC-T01;Milk;Trading Goods;T01;;Milk;ST;285
.1~142;142;C9;01;03;01/03;03/01/2021 00:00;1;3;03W;CC-T01;Milk;Trading Goods;T01;;Milk;ST;31
.1~141;141;C9;01;03;01/03;03/01/2021 00:00;1;3;03N;CC-T01;Milk;Trading Goods;T01;;Milk;ST;32
.1~140;140;C9;01;03;01/03;03/01/2021 00:00;1;3;03S;CC-T01;Milk;Trading Goods;T01;;Milk;ST;32
.1~109;109;B9;01;09;01/09;09/01/2021 00:00;2;9;03W;BB-T01;Milk;Trading Goods;T01;;Milk;ST;220
.1~108;108;B9;01;09;01/09;09/01/2021 00:00;2;9;03N;BB-T01;Milk;Trading Goods;T01;;Milk;ST;400
.1~107;107;B9;01;09;01/09;09/01/2021 00:00;2;9;03S;BB-T01;Milk;Trading Goods;T01;;Milk;ST;40
.1~99;99;B9;01;04;01/04;04/01/2021 00:00;1;4;03S;BB-T01;Milk;Trading Goods;T01;;Milk;ST;17
.1~98;98;B9;01;04;01/04;04/01/2021 00:00;1;4;03N;BB-T01;Milk;Trading Goods;T01;;Milk;ST;163
.1~97;97;B9;01;04;01/04;04/01/2021 00:00;1;4;03W;BB-T01;Milk;Trading Goods;T01;;Milk;ST;20
.1~63;63;A9;01;10;01/10;10/01/2021 00:00;2;10;03W;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~62;62;A9;01;10;01/10;10/01/2021 00:00;2;10;03N;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~61;61;A9;01;10;01/10;10/01/2021 00:00;2;10;03S;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~45;45;A9;01;08;01/08;08/01/2021 00:00;2;8;03W;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~44;44;A9;01;08;01/08;08/01/2021 00:00;2;8;03N;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~204;204;D9;01;06;01/06;06/01/2021 00:00;2;6;03S;DD-T01;Milk;Trading Goods;T01;;Milk;ST;3
.1~203;203;D9;01;06;01/06;06/01/2021 00:00;2;6;03N;DD-T01;Milk;Trading Goods;T01;;Milk;ST;16
.1~202;202;D9;01;06;01/06;06/01/2021 00:00;2;6;03W;DD-T01;Milk;Trading Goods;T01;;Milk;ST;1
.1~168;168;C9;01;10;01/10;10/01/2021 00:00;2;10;03S;CC-T01;Milk;Trading Goods;T01;;Milk;ST;153
.1~167;167;C9;01;10;01/10;10/01/2021 00:00;2;10;03N;CC-T01;Milk;Trading Goods;T01;;Milk;ST;153
.1~166;166;C9;01;10;01/10;10/01/2021 00:00;2;10;03W;CC-T01;Milk;Trading Goods;T01;;Milk;ST;152
.1~159;159;C9;01;08;01/08;08/01/2021 00:00;2;8;03W;CC-T01;Milk;Trading Goods;T01;;Milk;ST;207
.1~38;38;A9;01;05;01/05;05/01/2021 00:00;1;5;03N;AA-T01;Milk;Trading Goods;T01;;Milk;ST;17
.1~37;37;A9;01;05;01/05;05/01/2021 00:00;1;5;03W;AA-T01;Milk;Trading Goods;T01;;Milk;ST;16
.1~39;39;A9;01;05;01/05;05/01/2021 00:00;1;5;03S;AA-T01;Milk;Trading Goods;T01;;Milk;ST;17
.1~19;19;A9;01;03;01/03;03/01/2021 00:00;1;3;03S;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
